team 1,team 2,original team 1 score,original team 2 score,original winner,team 1 threes,team 2 threes,adjusted team 1 score,adjusted team 2 score,adjusted winner
Vermont,UMass Lowell,62,53,Vermont,2,7,60,46,Vermont
Xavier,Cincinnati,77,69,Xavier,7,5,70,64,Xavier
Furman,Cincinnati,73,78,Cincinnati,7,4,66,74,Cincinnati
Cincinnati,Tennessee,56,65,Tennessee,8,2,48,63,Tennessee
South Florida,Cincinnati,74,71,South Florida,7,7,67,64,South Florida
Cincinnati,Georgia,68,83,Georgia,5,4,63,79,Georgia
Cincinnati,UCF,70,75,UCF,5,9,65,66,UCF
Tulsa,Cincinnati,70,66,Tulsa,5,6,65,60,Tulsa
Cincinnati,SMU,76,69,Cincinnati,10,5,66,64,Cincinnati
Cincinnati,Wichita State,76,82,Wichita State,6,3,70,79,Wichita State
Cincinnati,Temple,63,60,Cincinnati,9,7,54,53,Cincinnati
Cincinnati,Tulane,64,61,Cincinnati,6,3,58,58,Cincinnati
Temple,Cincinnati,69,71,Cincinnati,7,6,62,65,Cincinnati
UCF,Cincinnati,68,69,Cincinnati,11,6,57,63,Cincinnati
Cincinnati,Houston,52,90,Houston,5,9,47,81,Houston
Cincinnati,Tulsa,70,69,Cincinnati,10,8,60,61,Tulsa
Tulane,Cincinnati,71,91,Cincinnati,7,10,64,81,Cincinnati
Memphis,Cincinnati,80,74,Memphis,7,9,73,65,Memphis
East Carolina,Charlotte,66,57,East Carolina,2,5,64,52,East Carolina
NC Wesleyan,East Carolina,62,91,East Carolina,5,9,57,82,East Carolina
Radford,East Carolina,50,63,East Carolina,4,5,46,58,East Carolina
UNC Wilmington,East Carolina,78,88,East Carolina,7,14,71,74,East Carolina
East Carolina,SMU,55,70,SMU,6,9,49,61,SMU
James Madison,East Carolina,64,73,East Carolina,7,6,57,67,East Carolina
Tulane,East Carolina,58,68,East Carolina,8,6,50,62,East Carolina
East Carolina,Tulane,56,60,Tulane,10,6,46,54,Tulane
South Florida,East Carolina,69,63,South Florida,8,4,61,59,South Florida
Memphis,East Carolina,80,53,Memphis,11,4,69,49,Memphis
East Carolina,UCF,64,71,UCF,4,10,60,61,UCF
Tulsa,East Carolina,77,68,Tulsa,6,5,71,63,Tulsa
Houston,East Carolina,73,82,East Carolina,9,11,64,71,East Carolina
East Carolina,Memphis,59,66,Memphis,1,8,58,58,East Carolina
SMU,East Carolina,71,56,SMU,4,2,67,54,SMU
Lamar,Houston,45,89,Houston,1,13,44,76,Houston
Boise State,Houston,58,68,Houston,1,5,57,63,Houston
Texas Tech,Houston,53,64,Houston,4,8,49,56,Houston
South Carolina,Houston,67,77,Houston,6,4,61,73,Houston
Alcorn State,Houston,55,88,Houston,5,6,50,82,Houston
Temple,Houston,50,76,Houston,5,10,45,66,Houston
Houston,UCF,63,54,Houston,7,2,56,52,Houston
